Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
7521/002,Diamond Heights Shopping Center - Building B2,"5262, 5264, 5268 Diamond Heights Blvd.",94131,"5262 5264
San Francisco, CA 94131
",10728,Retail Store,http://propertymap.sfplanning.org/?&search=7521/002,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2013-04-01T00:00:00,Complied,,,,48.5,148.8,20.9,20.9,44.6,4.2,49,149.3,,48.9,149.6,21.5,21.5,42.2,3.9,49.1,149.8,,50.7,155,25.9,25.9,43.8,4.1,51.4,155.7,,50.8,153.4,24.6,24.6,43.6,4.1,50.1,152.7,,,,,,,,,,,,,,,,,,
0667/011,"1430. 1450, 1480 Van Ness Ave",1430 Van Ness,94109,"1430 Van
San Francisco, CA 94109
",28300,Retail Store,http://propertymap.sfplanning.org/?&search=0667/011,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,27.9,87.3,-23.7,-23.7,37.9,2.3,27.9,87.3,,28.9,90.7,-20.8,-20.8,39.4,2.4,28.9,90.7,,32.7,99,-13.5,-13.5,43.8,2.6,32.7,99,,25.5,75.3,-34.3,-34.2,33.7,2,25.5,75.2,,,,,,,,,
0742/015,700-710 Van Ness,700 Van Ness,94102,"700 Van
San Francisco, CA 94102
",10467,Office,http://propertymap.sfplanning.org/?&search=0742/015,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2016-04-01T00:00:00,Complied,,,,27.9,83.2,-43.8,-43.8,24.6,2.3,27.9,83.2,,40.8,103.1,-30.4,-30.4,31.2,3,42.6,105,,39,109.9,-25.8,-25.8,31.5,3,39,109.9,38,42.5,117.2,14,14,33.9,3.2,41,115.7,,,,,,,,,,,,,,,,,,
1691/019,850 La Playa,850 LA PLAYA,94121,"850 LA
San Francisco, CA 94121
",97422,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=1691/019,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,32,265.1,631.6,11.7,11.7,739.8,19.8,267.5,634.1,24,265.5,671.6,18.3,18.3,727.7,19.4,266.8,669.5,23,266.5,672.3,19.5,19.5,729.5,19.5,269.5,670,28,272.6,674.9,15.1,15.1,739.7,19.8,269.2,671.3,29,272.6,672.3,14.6,14.6,738.3,19.7,271.7,671.4,23,276,,20.4,,810.77,,276,
3715/001,1 MISSION,100 The Embarcadero,94105,"100 The
San Francisco, CA 94105
",31740,Office,http://propertymap.sfplanning.org/?&search=3715/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,236.3,467.6,215.8,215.8,510.5,16.1,236.3,467.6,,268.3,517.2,249.3,249.3,553.9,17.5,269.9,516,,276.1,526.7,255.7,255.7,567.6,17.9,273.6,518.9,,285.3,522.5,253.1,252.8,598.4,18.9,282.9,515.1,,242,486.9,255.8,,530.35,,243.4,491.7,,,,,,,,,
3715/002,110 THE EMBARCADERO,110 THE EMBARCADERO,94105,"110 THE
San Francisco, CA 94105
",12274,,http://propertymap.sfplanning.org/?&search=3715/002,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2023-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715/013,Bayside Plaza,188 THE EMBARCADERO,94105,"188 THE
San Francisco, CA 94105
",97025,Office,http://propertymap.sfplanning.org/?&search=3715/013,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - ENERGY STAR,,,84,52.3,141.7,-36.8,-36.8,359.1,4.2,52.3,141.7,95,36.3,99.9,-54.1,-54.1,238,2.8,36.9,100.6,,,,,,,,,,,53.2,116.7,-21.2,-21.2,330,3.8,53.5,117,69,60.8,137.8,-20.5,,383.14,,60.8,137.8,72,54.9,,-23.1,,359.03,,58.2,
3741/035,2 Folsom,250 THE EMBARCADERO,94105,"250 THE
San Francisco, CA 94105
",700079,Office,http://propertymap.sfplanning.org/?&search=3741/035,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,89,53.6,154.9,-42.3,-42.3,2483.6,4.4,53.6,154.9,89,55.1,158,-41.9,-41.9,2401,4.3,55.8,158.7,90,54.2,154.2,-43.5,-43.5,2352.4,4.2,55.6,155.7,91,55.1,153.1,-44.8,-44.8,2364.6,4.2,55.2,153.1,95,54.6,159.6,-49.6,,2568.48,,54.2,159.2,83,58.5,,-33.8,,2716.55,,55.9,
3957/002,350 Rhode Island - North,350 Rhode Island - North,94103,"350 Rhode Island North
San Francisco, CA 94103
",127074,Other - Education,http://propertymap.sfplanning.org/?&search=3957/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Complied,,100.4,244,72.5,72.5,961.3,7.6,101.6,245.3,,108.1,268.3,89.7,89.7,997.3,7.8,108.2,266.3,,102.7,254.3,79.8,79.8,946.4,7.4,99.9,245.4,,92.1,228.8,61.9,61.8,900.9,7.1,91.6,230.2,,94.9,242.8,63.6,,940.9,,95.3,244.4,,125,,96,,1160.87,,123.6,
4288/004,1750 Cesar Chavez,1750 Cesar Chavez,94107,"1750 Cesar
San Francisco, CA 94107
",31546,Mixed Use Property,http://propertymap.sfplanning.org/?&search=4288/004,Complied,,Exempt,,Exempt,,,,,,,,,,2014-04-01T00:00:00,Complied,,,,77.8,155,25.9,25.9,167.6,5.3,82.3,159.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/005,1740 Cesar Chavez,1740 Cesar Chavez,94107,"1740 Cesar
San Francisco, CA 94107
",60573,Mixed Use Property,http://propertymap.sfplanning.org/?&search=4288/005,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Complied,,,,37.8,101.8,-17.3,-17.3,182.1,3,38.1,101.6,,38.8,106.1,-13.8,-13.8,178.6,2.9,38.7,104.9,,41.6,111.7,-9.3,-9.3,189.7,3.1,42.2,110.4,,41.9,110.1,-10.6,-10.6,189.3,3.1,41.7,110.7,,,,,,,,,,,,,,,,,,
4304/002,Pier 80 - Admin Bldg.,501 Cesar Chavez,94124,"501 Cesar
San Francisco, CA 94124
",41390,Office,http://propertymap.sfplanning.org/?&search=4304/002,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2099-04-01T00:00:00,Municipal,,,79,31.3,76,-31.6,-31.6,97.5,2.4,33.3,78,61,43.1,97,-12.3,-12.3,123.9,3,,,37,51,124.9,14,14,152.3,3.7,,,26,64.2,145.3,28.9,29,194.8,4.7,,,,,,,,,,,,,,,,,,,,
9900/278,Pier 2 - Agriculture Building,101 The Embarcadero,94105,"101 The
San Francisco, CA 94105
",15586,Office,http://propertymap.sfplanning.org/?&search=9900/278,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2099-04-01T00:00:00,Municipal,,,42,136.3,207.1,8,8,128.9,8.3,158.9,230.8,16,176.2,287.7,48.4,48.4,167.6,10.8,,,20,163.9,268.3,40,40,156.1,10,,,25,162.5,257.1,31.2,31.1,156.8,10.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0675/051,Buchanan Plaza,1826 BUCHANAN ST,94115,"1826 BUCHANAN ST
San Francisco, CA 94115
(37.786931, -122.430077)",13973,Retail Store,http://propertymap.sfplanning.org/?&search=0675/051,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,100,5.5,17.2,-95.5,-95.5,6.7,0.5,5.5,17.2,100,5.7,17.8,-95.4,-95.4,6.4,0.5,5.7,17.8,100,5.7,18,-95.4,-95.4,6.5,0.5,5.7,18,100,5.5,17.2,-95.7,-95.7,6.3,0.4,5.5,17.2,,,,,,,,,,,,,,,,,,
3012/018,345 W Portal Ave,345 W Portal Ave,94127,"345 W Portal Ave
San Francisco, CA 94127
(37.737333, -122.469803)",12500,Medical Office,http://propertymap.sfplanning.org/?&search=3012/018,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,74,42,94.7,-30.3,-30.3,38.1,3,42.2,95,77,38.7,90,-33.2,-33.2,34.1,2.7,38.7,90,81,38.8,94.4,-32.8,-32.8,34.9,2.8,38.8,94.4,73,46.9,111.6,-24.2,-24.2,41.7,3.3,46.9,111.6,,,,,,,,,,,,,,,,,,
3506/004,SF Honda,12 SOUTH VAN NESS AVE,94103,"12 SOUTH VAN NESS AVE
San Francisco, CA 94103
(37.774397, -122.41912)",91088,Automobile Dealership,http://propertymap.sfplanning.org/?&search=3506/004,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,30.2,91,-30,-30,174.3,2.4,30.4,91.3,,31,94.7,-27.2,-27.2,180.4,2.5,31,94.7,,32,95.4,-26.6,-26.6,183.8,2.5,31.5,94.9,,28.8,91.2,-45.7,,183.36,,28.4,90.1,,30.2,,-32.2,,190.67,,29.8,
0228/024,550 Montgomery,550 MONTGOMERY ST,94111,"550 MONTGOMERY ST
San Francisco, CA 94111
(37.794395, -122.403091)",100691,Office,http://propertymap.sfplanning.org/?&search=0228/024,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,,Exempt,,2014-04-01T00:00:00,Complied,,,,,,,,,,,,92,55.1,113.4,-48.7,-48.7,370.8,3.7,57.4,115.8,,61.8,124.6,-15.8,-15.8,387.1,4.1,66.5,129.6,,70.6,134.8,-9,-9,432.4,4.6,71.1,135.3,,,,,,,,,,93,53,,-50.3,,353.99,,50.1,
0667/010,1400 VAN NESS AVE,1400 VAN NESS AVE,94109,"1400 VAN NESS AVE
San Francisco, CA 94109
(37.788633, -122.421908)",18321,,http://propertymap.sfplanning.org/?&search=0667/010,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310/008,28 Geary,28 GEARY ST,94108,"28 GEARY ST
San Francisco, CA 94108
(37.787882, -122.404105)",50121,Office,http://propertymap.sfplanning.org/?&search=0310/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,86,36.3,107.4,-39.7,-39.7,134.3,2.7,36.6,107.2,86,36.3,109,,,144.9,2.9,36.5,109.2,91,32.1,94.2,,,126.7,2.5,32.8,95,93,32.6,92.3,,,126.3,2.5,32.6,92.3,93,32.2,92.6,-49.9,,134.8,,32.3,92.7,93,32.6,,-49.7,,140.5,,32.6,
0242/027,YMCA Chinatown,855 SACRAMENTO ST,94108,"855 SACRAMENTO ST
San Francisco, CA 94108
(37.793285, -122.406895)",50212,Other,http://propertymap.sfplanning.org/?&search=0242/027,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,42.6,133.9,8.7,8.7,185.7,3.7,42.6,133.9,,44.4,139.3,13.1,13.1,181.6,3.6,43.8,137.4,,43.4,136.1,10.6,10.6,177.5,3.5,42.5,133.5,,43.9,137.9,12,12,179.8,3.6,43.9,137.7,,190.2,385.3,297.9,,329.6,,187,383.9,,43,,13.1,,196.1,,43,
0642/003,1625 VAN NESS AVE,1625 VAN NESS AVE,94109,"1625 VAN NESS AVE
San Francisco, CA 94109
(37.790941, -122.422536)",88202,Office,http://propertymap.sfplanning.org/?&search=0642/003,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2012-11-15T00:00:00,Complied,,,70,60.2,155.8,-21.9,-21.9,348,4.7,61.9,157.6,69,59.6,161.4,-20.6,-20.6,334.6,4.5,59.6,161.4,64,63.1,168.3,-15.9,-15.9,351.6,4.7,61.9,164.6,71,59.3,158,-23.1,-23.1,330.4,4.5,59.3,157.8,77,53.7,147.1,-29.2,-29.2,303.4,4.1,53.7,148.4,,,,,,,,,
5586/001,Barneveld Dorman 65-81,65-81 Dorman Ave,94124,"65 81 Dorman Ave
San Francisco, CA 94124
(37.739562, -122.403344)",37550,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=5586/001,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,,,,,,,,,,95,12,23.8,-66.2,-66.2,29.6,0.8,12.9,24.8,95,11.3,22.5,-66.8,-66.8,28,0.7,14.3,25.7,95,13.2,25.2,-67.1,-67.1,32.1,0.9,12,23.9,95,11.4,24.7,-67.8,-67.8,27.1,0.7,11.7,25,,,,,,,,,
0306/199,441 MASON ST,501 Post Street,94102,"501 Post Street
San Francisco, CA 94102
(37.788083, -122.41008)",115722,Hotel,http://propertymap.sfplanning.org/?&search=0306/199,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Complied,,,38,53.9,132.9,11.2,11.2,473.4,4.1,53.9,132.9,39,53.1,131.7,10.2,10.2,446,3.9,53.1,131.7,38,52.6,131.2,11,11,442.9,3.8,52.6,131.2,38,56.3,139.4,10.4,10.4,472.3,4.1,56.3,139.4,,,,,,,,,,,,,,,,,,
0794/028,555 FULTON ST,555 FULTON ST,94102,"555 FULTON ST
San Francisco, CA 94102
(37.778444, -122.425744)",29345,,http://propertymap.sfplanning.org/?&search=0794/028,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0294/017,355 SUTTER ST,355 SUTTER ST,94108,"355 SUTTER ST
San Francisco, CA 94108
(37.789506, -122.406291)",16593,Retail Store,http://propertymap.sfplanning.org/?&search=0294/017,Violation - Insufficient Data,,Exempt,Exempt - Change of Ownership,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405/037,Bank of America Parkside 00318-0000258,1007 TARAVAL ST,94116,"1007 TARAVAL ST
San Francisco, CA 94116
(37.743, -122.477102)",13040,Bank Branch,http://propertymap.sfplanning.org/?&search=2405/037,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,86,41.2,86.4,-39.6,-39.6,34.6,2.7,42.3,87.6,90,32,78.9,-45.2,-45.2,30.2,2.3,33,80,89,32.2,80.2,-44.4,-44.4,30.5,2.3,32.2,80.2,91,30,77.9,-46.2,-46.2,30.8,2.4,30,77.9,,,,,,,,,,,,,,,,,,
0508/012,Hotel Del Sol,3100 WEBSTER ST,94123,"3100 WEBSTER ST
San Francisco, CA 94123
(37.799395, -122.434278)",30598,Hotel,http://propertymap.sfplanning.org/?&search=0508/012,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,44,85.2,136.5,4.9,4.9,123,5.3,87.4,143.4,33,100.9,155.8,15.6,15.6,140.5,6,101.3,157.2,31,99.7,153.4,17.1,17.1,138.6,6,99.7,153.4,35,101.4,154.3,12.7,12.6,140.4,6,101.4,154.3,63,88.1,124.6,-10.8,-10.7,119.1,5.1,88,124.1,,,,,,,,,
0324/022,415 OFARRELL ST,415 OFARRELL ST,94102,"415 OFARRELL ST
San Francisco, CA 94102
(37.78595, -122.411795)",24042,,http://propertymap.sfplanning.org/?&search=0324/022,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702/048A,1111 MARKET ST,1111 MARKET ST,94103,"1111 MARKET ST
San Francisco, CA 94103
(37.780278, -122.412783)",17500,Office,http://propertymap.sfplanning.org/?&search=3702/048A,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,85,34.3,91,-38.4,-38.4,47.4,2.7,36.3,93.1,65,44.6,113.9,-16.2,-16.2,57.5,3.3,46.8,116.2,40,54,147.5,11.2,11.2,71.8,4.1,56.4,145.8,66,61.4,145,-16.8,-16.8,80.6,4.6,58.6,142,,,,,,,,,,,,,,,,,,
0309/006,140 Geary Street,132 GEARY ST,94108,"132 GEARY ST
San Francisco, CA 94108
(37.787681, -122.405705)",52596,Office,http://propertymap.sfplanning.org/?&search=0309/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,2014-04-01T00:00:00,Complied,,,92,39.4,115.3,-49,-49,172.7,3.3,40.5,116.5,90,41.1,123.6,-46.2,-46.2,172.4,3.3,41.4,124,97,30.5,91.5,-59.6,-59.6,127.8,2.4,31.3,92.4,96,36.1,99.7,-56.9,-56.9,144.9,2.8,36.2,99.8,98,31.4,87.6,-62.5,-62.5,126.9,2.4,31.2,87.4,98,29.1,85.2,-63.8,-63.8,120.4,2.3,28.7,84.8
0029/007,Hyatt Fisherman's Wharf,555 NORTH POINT ST,94133,"555 NORTH POINT ST
San Francisco, CA 94133
(37.806263, -122.416144)",283765,Hotel,http://propertymap.sfplanning.org/?&search=0029/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,48,72.9,167.3,1.1,1.1,1264.7,5.3,71.9,164.2,50,71.8,168.8,-0.8,-0.8,1205.2,5.1,71.5,168,45,74.7,173.1,4.1,4.1,1245.3,5.3,74.4,172.2,19,98.3,224.8,34.4,34.4,1773.9,6.9,98.3,224.8,61,66.9,161.5,-10.2,,1305.99,,67.7,164,57,70.1,,-7,,1367.28,,70.6,
3504/047,Gough,44 GOUGH ST,94103,"44 GOUGH ST
San Francisco, CA 94103
(37.772468, -122.421177)",34955,Office,http://propertymap.sfplanning.org/?&search=3504/047,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Pending,,,96,26.5,80.7,-57.3,-57.3,78.9,2.3,26.3,80.2,95,27.8,85.2,-54.9,-54.9,78.2,2.2,27.9,85.4,96,26.7,82,-56.2,-56.2,75.2,2.2,26.7,82,94,30.5,92.3,-52.4,-52.4,91.7,2.6,30.1,91.9,95,28.6,91.5,-55.5,,88.58,,30.1,95.8,,,,,,,,,
1439/023,4350 GEARY BLVD,4350 GEARY BLVD,94118,"4350 GEARY BLVD
San Francisco, CA 94118
(37.780995, -122.466213)",12469,,http://propertymap.sfplanning.org/?&search=1439/023,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583/068,527 CASTRO ST,527 CASTRO ST,94114,"527 CASTRO ST
San Francisco, CA 94114
(37.760269, -122.434935)",10020,,http://propertymap.sfplanning.org/?&search=3583/068,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0174/008,710 SANSOME ST,710 SANSOME ST,94111,"710 SANSOME ST
San Francisco, CA 94111
(37.796978, -122.401939)",21790,Office,http://propertymap.sfplanning.org/?&search=0174/008,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,84,40,109.8,-37.2,-37.2,70.1,3.2,40,109.8,,,,,,,,,,51,97.4,173.7,-1.1,-1.1,133.9,6.1,95.3,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071/001,3 MASONIC AVE,3 MASONIC AVE,94118,"3 MASONIC AVE
San Francisco, CA 94118
(37.783442, -122.44725)",15360,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=1071/001,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,9,287.9,666,38.8,38.8,310.9,20.2,302.9,681.7,13,297.1,663.8,32.2,32.2,315.9,20.6,290.2,656.6,,,,,,,,,,,,,,,,,,
0023/003,555 BEACH ST,555 BEACH ST,94133,"555 BEACH ST
San Francisco, CA 94133
(37.806973, -122.418105)",15706,,http://propertymap.sfplanning.org/?&search=0023/003,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0285/004,417 STOCKTON ST,417 STOCKTON ST,94108,"417 STOCKTON ST
San Francisco, CA 94108
(37.789856, -122.407063)",37432,Hotel,http://propertymap.sfplanning.org/?&search=0285/004,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0999/026,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
San Francisco, CA 94115
(37.790172, -122.445585)",22500,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2012-11-15T00:00:00,Pending,,,70,26.2,82.3,-17.5,-17.5,51.1,2.3,26.5,83.1,53,29.8,93.7,-3.4,-3.4,54.7,2.4,30.3,95.2,42,32.3,101.5,6.8,6.8,59.3,2.6,34.2,107.4,33,37.4,117.5,15.4,15.4,74,3.3,36.7,115.2,,,,,,,,,,,,,,,,,,
